"Nome do Serviço","Categoria","Descrição"
"AWS IoT Device Management","Internet das Coisas","Gerenciamento remoto de frotas IoT. Inclui provisionamento, monitoramento e atualizações OTA."
"AWS IoT Events","Internet das Coisas","Serviço de detecção e resposta a eventos IoT. Monitora padrões e automatiza ações."
"AWS IoT FleetWise","Internet das Coisas","Serviço para coletar e transferir dados de veículos conectados para a nuvem de forma eficiente. Permite definir quais sinais do veículo (velocidade, temperatura, vibração) coletar e com que frequência, otimizando o uso de banda. Inclui um modelo de dados padronizado para a indústria automotiva."
"AWS IoT Greengrass","Internet das Coisas","Compute local para dispositivos IoT. Estende a nuvem para edge computing."
"AWS IoT SiteWise","Internet das Coisas","Serviço de coleta e organização de dados industriais IoT. Monitora equipamentos e otimiza operações."
"AWS IoT TwinMaker","Internet das Coisas","Serviço de criação de digital twins de sistemas físicos. Simula e otimiza operações reais."
"AWS IQ","Suporte","Marketplace para encontrar especialistas AWS certificados. Facilita contratação para projetos específicos."
"AWS Key Management Service","Segurança e Identidade","Serviço de gerenciamento centralizado de chaves criptográficas. Usa HSM para segurança e auditoria."
"AWS Kinesis","Analytics","Serviço de streaming real-time de dados em escala. Processa e analisa dados contínuos massivamente."
"AWS Lake Formation","Analytics","Serviço de configuração simplificada para data lakes. Garante governança e controle de acesso granular."
"AWS Lambda","Computação","Serviço de execução de código serverless orientado a eventos. Cobrado por uso, sem gerenciamento de servidores."
"AWS Launch Wizard","Gerenciamento e Governança","Ferramenta de deploy guiado para aplicações empresariais. Configura automaticamente seguindo boas práticas."
"AWS License Manager","Gerenciamento e Governança","Serviço de gerenciamento de licenças de software. Controla compliance e otimiza custos."
"AWS Lightsail","Computação","VPS simplificado com preço fixo mensal. Ideal para projetos pequenos e iniciantes."
"AWS Local Zones","Computação","Extensão de Availability Zones para baixa latência. Suporta aplicações críticas próximas aos usuários."
"AWS Macie","Segurança e Identidade","Serviço de descoberta e proteção de dados sensíveis com ML. Classifica e previne vazamentos automaticamente."
"AWS Mainframe Modernization","Migração e Transferência","Plataforma gerenciada para migrar e modernizar aplicações mainframe COBOL e PL/I para a AWS. Oferece dois padrões: refatoração automatizada (conversão para Java/cloud-native) e rehosting (execução do mainframe emulado na AWS). Inclui ferramentas para análise de código legado, testing e deployment."
"AWS Managed Services","Gerenciamento e Governança","Operação gerenciada de infraestrutura AWS. Inclui monitoramento, patches e otimização."
"AWS Management Console","Gerenciamento e Governança","Interface web para gerenciar serviços AWS. Oferece dashboard centralizado e intuitivo."
"AWS Marketplace","Terceiros","Loja de software terceirizado para AWS. Disponibiliza soluções pré-configuradas e licenciadas."
"AWS MediaConnect","Mídia","Serviço de transporte seguro de vídeo ao vivo. Garante qualidade broadcast para streaming."
"AWS MediaConvert","Mídia","Serviço de transcodificação de vídeo baseada em arquivo. Processa em lote para múltiplos formatos."
"AWS MediaLive","Mídia","Serviço de codificação de vídeo ao vivo para broadcast. Garante streams profissionais para múltiplas plataformas."
"AWS MediaPackage","Mídia","Serviço de empacotamento e proteção de vídeo. Otimiza entrega para diferentes dispositivos."
"AWS MediaStore","Mídia","Armazenamento otimizado para mídia e entrega. Oferece performance consistente para vídeos."
"AWS MediaTailor","Mídia","Serviço de personalização e monetização de vídeo. Inclui server-side ad insertion e analytics."
"AWS Migration Hub","Migração e Transferência","Ferramenta de rastreamento centralizado de migrações AWS. Fornece dashboard unificado de progresso."
"AWS Network Firewall","Segurança e Identidade","Firewall gerenciado para VPCs. Protege redes com inspeção avançada de tráfego."
"AWS Network Manager","Rede e Entrega de Conteúdo","Gerenciamento central de redes globais. Monitora e otimiza conectividade."
"AWS Nitro Enclaves","Segurança e Identidade","Ambiente isolado para processamento de dados sensíveis. Suporta computação confidencial com attestation."
"AWS Organizations","Gerenciamento e Governança","Serviço para gerenciar centralmente múltiplas contas AWS como uma organização unificada. Permite criar hierarquias de contas com Organizational Units (OUs) e aplicar Service Control Policies (SCPs) para restringir o que cada conta pode fazer."
"AWS Outposts","Híbrido","Infraestrutura AWS on-premises totalmente gerenciada. Oferece experiência consistente entre nuvem e datacenter."
"AWS Panorama","Machine Learning","Solução de computer vision no edge para análise de vídeo. Processa localmente com modelos ML customizados."
"AWS para SAP","Gerenciamento e Governança","Conjunto de serviços, ferramentas e suporte especializado da AWS para migrar e executar workloads SAP (S/4HANA, ECC, BW) na nuvem. Inclui Launch Wizard para SAP, instâncias EC2 certificadas para HANA, backups automatizados e integração com AWS Backup."
"AWS Parallel Computing Service (PCS)","Computação","Serviço gerenciado para criação e operação de clusters HPC (High Performance Computing) na AWS. Facilita o provisionamento de ambientes de computação paralela para simulações científicas, modelagem financeira e engenharia. Integra-se com ambientes de job scheduling como Slurm e AWS ParallelCluster."
"AWS ParallelCluster","Computação","Serviço de clusters HPC na nuvem. Automatiza configuração para cargas computacionais intensivas."
"AWS Partner Central","Terceiros","Portal de colaboração e gestão de negócios para parceiros do AWS Partner Network (APN). Permite que parceiros gerenciem oportunidades de co-selling com a AWS, acessem programas de benefícios e rastreiem certificações e competências."
"AWS Payment Cryptography","Segurança e Identidade","Serviço gerenciado para operações criptográficas do setor de pagamentos, compatível com padrões como PCI PIN e TR-31. Substitui HSMs físicos usados em redes de pagamento para operações como geração de chaves de cartão, PIN blocks e MACs."
"AWS Pinpoint","Marketing","Serviço de engajamento multicanal com clientes. Suporta campanhas via email, SMS e push."
"AWS Polly","Machine Learning","Serviço de síntese de voz natural com deep learning. Gera text-to-speech em múltiplos idiomas."
"AWS Private Certificate Authority","Segurança e Identidade","Autoridade certificadora privada gerenciada para emitir certificados TLS/SSL para uso interno em redes privadas e aplicações internas. Elimina a necessidade de operar infraestrutura PKI própria. Emite certificados para instâncias EC2, contêineres, dispositivos IoT e APIs internas."
"AWS Proton","Ferramentas de Desenvolvedor","Gerenciamento de templates de infraestrutura para desenvolvedores. Combina self-service com governança."
"AWS RDS (Relational Database Service)","Banco de Dados","Bancos relacionais gerenciados com backup automático. Suporta MySQL, PostgreSQL, Oracle e SQL Server."
"AWS re:Post Private","Suporte","Versão privada e corporativa do AWS re:Post (fórum técnico da AWS) para uso interno de organizações. Permite criar uma comunidade técnica interna onde funcionários fazem e respondem perguntas sobre AWS, compartilham conhecimento e documentam soluções."
"AWS Recycle Bin","Armazenamento","Recurso que protege contra exclusão acidental de snapshots do EBS e AMIs na AWS. Mantém recursos excluídos em uma lixeira por um período configurável (1 dia a 1 ano) antes da exclusão definitiva. Permite recuperar recursos deletados por engano dentro da janela de retenção."
"AWS Redshift","Analytics","Data warehouse petabyte-scale para analytics. Otimiza consultas complexas com alta performance."
"AWS Rekognition","Machine Learning","Serviço de análise de imagens e vídeos com deep learning. Detecta objetos, rostos e texto."
"AWS Resilience Hub","Gerenciamento e Governança","Serviço para definir, validar e monitorar continuamente a resiliência de aplicações AWS. Permite definir RTO e RPO alvo para uma aplicação e avalia automaticamente se a arquitetura atual consegue atender esses objetivos. Identifica componentes sem redundância e sugere melhorias específicas."
"AWS Resource Access Manager","Gerenciamento e Governança","Serviço de compartilhamento seguro de recursos entre contas. Oferece colaboração com controle granular."
"AWS Resource Explorer","Gerenciamento e Governança","Serviço de busca e descoberta de recursos AWS em múltiplas regiões e contas. Permite encontrar qualquer recurso (instâncias EC2, buckets S3, funções Lambda, etc.) por tag, tipo, região ou nome via interface de busca centralizada."
"AWS Resource Groups & Tag Editor","Gerenciamento e Governança","Ferramenta para organizar e gerenciar recursos AWS usando tags e grupos de recursos. Permite criar grupos lógicos de recursos que compartilham tags comuns para facilitar gerenciamento em escala. Tag Editor permite adicionar, editar e remover tags de múltiplos recursos simultaneamente."
"AWS Route 53","Rede e Entrega de Conteúdo","DNS altamente disponível e escalável. Inclui roteamento inteligente e health checks."
"AWS RTB Fabric","Rede e Entrega de Conteúdo","Serviço especializado da AWS para o setor de publicidade digital, otimizando a infraestrutura de Real-Time Bidding (RTB). Oferece conectividade de ultra-baixa latência para plataformas de leilão de anúncios que precisam responder em milissegundos."
"AWS S3 (Simple Storage Service)","Armazenamento","Armazenamento de objetos com 99.999999999% de durabilidade. Base para backup, analytics e distribuição."
"AWS S3 Glacier","Armazenamento","Arquivamento de longo prazo com custo baixo. Oferece recuperação flexível para dados raramente acessados."
"AWS SageMaker","Machine Learning","Plataforma end-to-end para machine learning. Suporta build, train e deploy de modelos em escala."
"AWS Savings Plans","Gerenciamento de Custos","Modelo de preço com desconto para uso consistente. Flexível entre instâncias e regiões."
"AWS Secrets Manager","Segurança e Identidade","Serviço de rotação automática de credenciais. Garante acesso seguro a senhas e tokens."
"AWS Security Agent","Segurança e Identidade","Agente de IA autônomo especializado em segurança que monitora, detecta e responde a ameaças automaticamente. Analisa logs de CloudTrail, GuardDuty e Security Hub para identificar padrões suspeitos e vulnerabilidades."
"AWS Security Hub","Segurança e Identidade","Dashboard centralizado de segurança multi-serviços. Agrega findings e pontua compliance."
"AWS Security Hub CSPM","Segurança e Identidade","Serviço de gestão de postura de segurança em nuvem (CSPM) que agrega alertas de segurança de múltiplos serviços AWS e ferramentas de terceiros em um painel unificado."
"AWS Security Incident Response","Segurança e Identidade","Serviço lançado em 2024 que fornece um ambiente estruturado para gerenciar e responder a incidentes de segurança na AWS. Cria casos de incidente, consolida evidências de GuardDuty, Detective e Security Hub e orquestra o processo de resposta."
"AWS Serverless Application Repository","Computação","Repositório gerenciado para descoberta, deploy e publicação de aplicações serverless na AWS. Permite que desenvolvedores compartilhem e reutilizem componentes prontos baseados em AWS Lambda. Contém milhares de aplicações públicas para casos como processamento de imagens, autenticação e notificações."
"AWS Service Catalog","Gerenciamento e Governança","Catálogo de produtos aprovados para auto-serviço. Combina governança com flexibilidade."
"AWS Service Quotas","Gerenciamento e Governança","Ferramenta de visualização e gerenciamento de cotas. Permite monitoramento e solicitação de aumentos."
"AWS SES (Simple Email Service)","Comunicação","Serviço de envio de email transacional e marketing. Garante alta entregabilidade com analytics."
"AWS Shield","Segurança e Identidade","Proteção DDoS gerenciada para aplicações AWS. Mitiga ataques automaticamente."
"AWS Signer","Segurança e Identidade","Serviço para assinatura digital de código que garante a integridade e autenticidade de artefatos de software. Suporta assinatura de código Lambda, imagens de contêiner e pacotes IoT. Permite definir políticas de trust que bloqueiam execução de código não assinado ou com assinatura inválida."
"AWS Snow Family","Migração e Transferência","Família de dispositivos físicos para transferência de grandes volumes de dados para a AWS quando a rede não é viável. Atualmente centrada no Snowball Edge (até 210TB, com capacidade de computação local), após a descontinuação do Snowcone e do Snowmobile."
"AWS SNS (Simple Notification Service)","Integração de Aplicações","Serviço de pub/sub messaging para aplicações. Entrega mensagens a múltiplos endpoints."
"AWS SQS (Simple Queue Service)","Integração de Aplicações","Filas de mensagens totalmente gerenciadas. Desacopla componentes distribuídos com resiliência."
"AWS Step Functions","Integração de Aplicações","Orquestração de workflows com máquinas de estado. Coordena serviços distribuídos visualmente."
"AWS Storage Gateway","Híbrido","Conectividade híbrida entre on-premises e cloud storage. Integra protocolos existentes com S3."
"AWS Supply Chain","Produtividade","Solução de gestão de cadeia de suprimentos em nuvem que integra dados de múltiplos sistemas legados (ERP, WMS, TMS) em uma visão unificada. Usa ML para prever riscos de suprimento, recomendar ações e otimizar estoque. Oferece colaboração entre compradores e fornecedores em uma plataforma única."
"AWS Support","Suporte","Planos de suporte técnico diferenciados. Inclui desde suporte básico até enterprise com TAM."
"AWS Sustainability","Gerenciamento e Governança","Hub de sustentabilidade da AWS que oferece ferramentas e dados para ajudar organizações a medir e reduzir o impacto ambiental de seus workloads na nuvem. Inclui o Customer Carbon Footprint Tool para visualizar emissões de CO2 associadas ao uso de serviços AWS."
"AWS Systems Manager","Gerenciamento e Governança","Gerenciamento operacional unificado de recursos. Automatiza patches, compliance e monitoramento."
"AWS Telco Network Builder","Gerenciamento e Governança","Serviço para operadoras de telecomunicações automatizarem o deployment e gerenciamento de funções de rede (VNFs/CNFs) na AWS. Permite que telcos construam e operem redes 5G core, IMS e outras funções de rede como workloads cloud-native na AWS."
"AWS Tools for PowerShell","Ferramentas de Desenvolvedor","Cmdlets PowerShell para automação AWS. Integra nativamente com ambientes Windows."
"AWS Transcribe","Machine Learning","Serviço de conversão automática de fala em texto. Suporta múltiplos idiomas com alta precisão."
"AWS Transfer Family","Migração e Transferência","Protocolos gerenciados (SFTP, FTPS, FTP) para transferência. Migra workflows para S3."
"AWS Transform","Migração e Transferência","Serviço que usa inteligência artificial para acelerar a modernização e migração de aplicações legadas para a AWS. Analisa o código-fonte e sugere ou executa automaticamente conversões para linguagens e frameworks modernos."
"AWS Transit Gateway","Rede e Entrega de Conteúdo","Hub de conectividade para VPCs e redes on-premises. Simplifica topologias de rede complexas."
"AWS Trusted Advisor","Otimização","Ferramenta de recomendações automatizadas para AWS. Analisa custos, performance e segurança."
"AWS User Notifications","Gerenciamento e Governança","Serviço centralizado para gerenciar e entregar notificações de eventos da conta AWS em múltiplos canais. Consolida notificações de serviços como CloudWatch, Trusted Advisor, Health e Config em um único hub. Entrega notificações via console AWS, email, Slack, Microsoft Teams e Amazon Q in chat."
"AWS VPC (Virtual Private Cloud)","Rede e Entrega de Conteúdo","Rede virtual isolada com controle total. Inclui subnets, routing e gateways customizáveis."
"AWS VPN","Rede e Entrega de Conteúdo","Conectividade VPN segura entre AWS e redes externas. Suporta site-to-site e client VPN."
"AWS WAF (Web Application Firewall)","Segurança e Identidade","Proteção de aplicações web contra exploits. Filtra requisições HTTP/HTTPS customizáveis."
"AWS Wavelength","Computação","Compute AWS integrado em redes 5G. Oferece ultra-baixa latência para aplicações mobile."
"AWS Well-Architected Tool","Gerenciamento e Governança","Ferramenta de revisão de arquiteturas baseada em boas práticas. Fornece assessments e recomendações."
"AWS Wickr","Comunicação","Plataforma de comunicação empresarial segura com criptografia de ponta a ponta para mensagens, voz, vídeo e arquivos. Projetada para setores regulamentados como defesa, governo, saúde e finanças que precisam de comunicação soberana e auditável."
"AWS X-Ray","Ferramentas de Desenvolvedor","Serviço de análise distribuída de performance. Traça requests em microserviços complexos."
"Kiro","Ferramentas de Desenvolvedor","IDE da AWS com IA integrada ao ciclo de desenvolvimento, lançado em 2025 como evolução do desenvolvimento assistido por IA. Implementa o fluxo spec-to-code, onde o desenvolvedor descreve requisitos e a IA gera especificações técnicas, planos de implementação e código."
"Oracle Database@AWS","Banco de Dados","Solução resultante da parceria entre Oracle e AWS que permite rodar o Oracle Exadata Database Service diretamente dentro das regiões AWS. Elimina a necessidade de migrar dados para fora do Oracle ao mesmo tempo que oferece conectividade de baixíssima latência com outros serviços AWS."
"Red Hat OpenShift Service on AWS (ROSA)","Computação","Serviço gerenciado de OpenShift na AWS, resultado da parceria entre Red Hat e Amazon. Oferece a experiência completa do OpenShift (Kubernetes enterprise com ferramentas DevOps integradas) sem gerenciar a infraestrutura."
